comments,cleaned_comments,sentiment_scores,compound_score,sentiment_category
This phone is amazing apart from the price and the bezel,amaz apart price bezel,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"The best part is that it’s a Mr. Mobile video, the software, cameras, and tensor G2 chip, wish it was the G3 chip and at least a 8000mah battery two 4000mah cells on each side. 120hz displays on both inside and out is going to kill that little battery, would’ve been the best option for $1,800. Also stock Android is always good and smooth… That’s what she said",best part mr mobil softwar camera tensor g chip wish g chip least mah two mah cell side hz insid go kill littl wouldv best option also stock android alway good smooth that said,"{'neg': 0.103, 'neu': 0.591, 'pos': 0.306, 'compound': 0.8519}",0.8519,positive
Haven't been to this channel in a long time...Im buying the Pixel fold...BTW Pixel fold caes are already available on Amazon,havent channel long timeim buy btw cae alreadi avail amazon,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.1779}",0.1779,neutral
Next fold we need to see is the apple fold. (If it ever comes),next need see appl ever come,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
I'll be excited to see the Pixel Fold 1a ;),ill excit see,"{'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
"Would love to have one, but I just can't morally drop 1800€/$ on a phone. Any shot of a Pixel Fold A coming?",would love one cant moral drop shot come,"{'neg': 0.0, 'neu': 0.499, 'pos': 0.501, 'compound': 0.7196}",0.7196,positive
It’s so weird to me why google still don’t sell their phones in many european countries like here in Finland,weird still dont sell mani european countri like finland,"{'neg': 0.152, 'neu': 0.625, 'pos': 0.223, 'compound': 0.2023}",0.2023,neutral
This story about Google 'optimising Android for a form factor themselves' reminds me a lot about how they 'optimised' it for tablets ...,stori optimis android form factor remind lot optimis tet,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Does this device offer stylus support? I am always using for rough sketches and navigation on my Fold 3.,devic offer stylus support alway use rough sketch navig,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}",0.4019,neutral
I really wish that they had built in a proper desktop mode like Dex or Motorola's ReadyFor.,realli wish built proper desktop mode like dex motorola readyfor,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.6369}",0.6369,positive
The Pixel Fold is interesting but at such a hefty price tag do you believe it stands a chance at grabbing the foldable phone marketshare?,interest hefti price tag believ stand chanc grab e marketshar,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.4588}",0.4588,positive
Just like the 6 Pro its will be best to wait until the 2nd gen of the foldable.,like pro best wait nd gen e,"{'neg': 0.0, 'neu': 0.374, 'pos': 0.626, 'compound': 0.7717}",0.7717,positive
"295 trade for a 7? I was expecting the price, but that's a real punch in the gut. All my excitement was instantly deflated.",trade expect price that real punch gut excit instant deflat,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
The landscape of folding phones will only change when Apple enters the market. They will be late to party but they will set the trend to follow.,landscap ing chang appl enter market late parti set trend follow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Surface Duo with a flexible screen?! SOLD!! Hopefully Google will also copy the Duo's method for switching between multiple dual screen apps.,surfac duo flexibl sold hope also copi duo method switch multipl dual app,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}",0.4404,positive
I knew he would be the one who would the happiest of the bunch for a foldable phone,knew would one would happiest bunch e,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",0.6369,positive
Is there USB-C video output? During the I/O presentation the phone was plugged in so I am assuming they were using the connection for video output. I'm hoping they have not removed it in the production model.,usbc output io present plug assum use connect output im hope remov product model,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}",0.4404,positive
"I'm gonna wait till Samsung drops its fold 5 before deciding on which fold to move to. If Samsung resolves its small outer screen problem, I'm pretty sure they can move ahead from Google since it's just a 1st generation fold against a 5th gen.",im gon na wait till samsung drop decid move samsung resolv small outer problem im pretti sure move ahead sinc st generat th gen,"{'neg': 0.171, 'neu': 0.747, 'pos': 0.082, 'compound': -0.3612}",-0.3612,negative
"""It's a surface duo with a folding screen"" yeeess! I've got a z fold 3 and surface duo to try out. The duo has a much better form factor, more satisfying in the hand I think.",surfac duo ing yeeess ive got z surfac duo tri duo much better form factor satisfi hand think,"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.7269}",0.7269,positive
it reminds me of Microsoft Duo 2 in terms of design.,remind microsoft duo term design,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"your video are the go to for tech, more pixel fold please in a review when its out. keep up the great work",go tech pleas keep great work,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.6249}",0.6249,positive
I’m so excited to see your first impressions and i cannot wait to see your personal review.,im excit see first impress wait see person,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,positive
"Why have a inner selfie camera?  Just put the outer screen underneath the camera bar and move the wireless charger coil to the other side.  You would not only have better selfie pictures, but also potentially save cost by not having to put another camera and also have smaller bezels for the inner screen.  I never understood why foldables have never done this.",inner selfi camera put outer underneath camera bar move wireless charger coil side would better selfi pictur also potenti save cost put anoth camera also smaller bezel inner never understood es never done,"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.7269}",0.7269,positive
Always loved your reviews since day 1.. All the time GREAT! Keep safe my friend.,alway love sinc day time great keep safe friend,"{'neg': 0.0, 'neu': 0.258, 'pos': 0.742, 'compound': 0.9371}",0.9371,positive
I think Google did good with this one.,think good one,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,positive
"So many questions but my main one, and the deal breaker, is will it have alt mode/desktop mode?
""They're not a sponsor, they're a subject""",mani question main one deal breaker alt modedesktop modetheyr sponsor theyr subject,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"Please Michael make a head-to-head comparison between the Pixel Fold and the Samsung Z Fold 4 - thx ! And stay foldable, my friend :)",pleas michael make headtohead comparison samsung z thx stay e friend,"{'neg': 0.0, 'neu': 0.551, 'pos': 0.449, 'compound': 0.6908}",0.6908,positive
"Its almost a perfect foldable phone, needs a better chip, less crease and bezels",almost perfect e need better chip less creas bezel,"{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.7222}",0.7222,positive
"The Pixel Fold might give some competition to Samsung. I love how the hinge closes the Pixel Fold than what the Fold Series gives

The $1800 price tag will make or break Google when it comes to making more of them.",might give competit samsung love hing close seri givesth price tag make break come make,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6369}",0.6369,positive
"I can get 900 for my Fold 4 512GB, tempting. A little disappointed there is no macro mode on the camera, unless I missed that....",get gb tempt littl disappoint macro mode camera unless miss,"{'neg': 0.35, 'neu': 0.65, 'pos': 0.0, 'compound': -0.5106}",-0.5106,negative
"I want to buy this phone so bad, but the lack of pen support is a deal breaker. Google was stupid for not including pen support.",want buy bad lack pen support deal breaker stupid includ pen support,"{'neg': 0.42, 'neu': 0.274, 'pos': 0.306, 'compound': -0.5423}",-0.5423,negative
The only Pixel Fold video i need to watch. Great video .,need great,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,positive
Apart from the first razr this has to be the best looong foldable phone for me,apart first razr best looong e,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.6369,positive
You should have left their demo with Niagara as the default launcher.,left demo niagara default launcher,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
The price is the only sore spot for me will probably wait for pixel fold 2 but at least Samsung will now have a competitor in the west,price sore spot probi wait least samsung competitor west,"{'neg': 0.238, 'neu': 0.762, 'pos': 0.0, 'compound': -0.3612}",-0.3612,negative
"If Google were really smart they'd make this phone $300 so then everyone would pick one up and join/pay for the Google ecosystem. Especially since Apple haven't made a foldable yet, I think that would sway a lot of Apple diehards.",realli smart theyd make everyon would pick one joinpay ecosystem especi sinc appl havent made e yet think would sway lot appl diehard,"{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.4019}",0.4019,neutral
Only foldable I genuinely care for,e genuin care,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.4939}",0.4939,positive
OK I like that Google is helping the foldable market but every software feature Michael talked about this pixel fold is already on the Samsung fold for literally years,ok like help e market everi softwar featur michael talk alreadi samsung liter,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.7506}",0.7506,positive
What about a foldable watch? THAT could make me swap out my collection of EcoDrives for something more techy.,e could make swap collect ecodr someth techi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"Even though I'm not the target audience, I am curious of the device itself and wondering how well it performs and runs. Can't wait for the full review",even though im target audienc curious devic wonder well perform run cant wait full,"{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.5267}",0.5267,positive
Would love Marques to do a video into the reality of long term ownership of foldable phones. From most forums it seems they’re not ready yet,would love marqu realiti long term ownership e forum seem theyr readi yet,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.6369}",0.6369,positive
"The bezel looks fine, it seems to work with that phone probably due to the screen size once opened, it doesn't feel like the bezel is reducing the screen significantly",bezel look fine seem work probi due size open doesnt feel like bezel reduc signific,"{'neg': 0.125, 'neu': 0.769, 'pos': 0.106, 'compound': -0.0798}",-0.0798,neutral
I love how Marques released this live while Google are presenting it at IO,love marqu releas live present io,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",0.6369,positive
"In my opinion given the design choice, specs and entire outlook of the folding phone landscape, google isn't gonna ship many of these pixel folds, it'll probably be in their second attempt that they see some improvement, provided they refine their approach, cause this fold is asking a lot for what it offers",opinion given design choic spec entir outlook ing landscap isnt gon na ship mani itll probi second attempt see improv provid refin approach ca ask lot offer,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"Really wish we'd get that  dock on the normal pixels aswell without having super small scaling, it looks so useful for multitasking.",realli wish wed get dock normal aswel without super small scale look ful multitask,"{'neg': 0.176, 'neu': 0.672, 'pos': 0.151, 'compound': -0.1144}",-0.1144,neutral
"I have a Fold 4 right now, it will be very interesting to see where Google takes this product line in the future!",right interest see take product line futur,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.4588}",0.4588,positive
"That price rules it out for me, even with the ""free"" watch, I'll also be interested to see the battery life reports too",price rule even free ill also interest see report,"{'neg': 0.185, 'neu': 0.397, 'pos': 0.417, 'compound': 0.5423}",0.5423,positive
"I've never liked extremely thin bezels on tablets, so this aspect is positive for me.

Tiny bezels may look great and function well on phones, but it's awkward when you have to use both hands on a larger device. I'm hoping the next generation will feature bezels of identical sizes on all four edges. Hopefully, they'll introduce a larger model as well.",ive never like extrem thin bezel tet aspect posit metini bezel may look great function well awkward hand larger devic im hope next generat featur bezel ident size four edg hope theyll introduc larger model well,"{'neg': 0.076, 'neu': 0.571, 'pos': 0.353, 'compound': 0.9272}",0.9272,positive
"Also the Fold 4 has an option in settings to hide the bottom task bar (long press instead of swiping), similar to what you guys showed with the pixel fold. Very curious to see the durability of the pixel!",also option set hide bottom task bar long press instead swipe similar guy show curious see durabl,"{'neg': 0.089, 'neu': 0.789, 'pos': 0.121, 'compound': 0.1531}",0.1531,neutral
I love how it's the same shape as the 3ds. I'm sure that you could emulate some 3ds or and ds game on this device really well,love shape ds im sure could emul ds ds game devic realli well,"{'neg': 0.0, 'neu': 0.538, 'pos': 0.462, 'compound': 0.8225}",0.8225,positive
I like the design of the Pixel Fold. I'd love to use and test it to see how it performs in real life situations,like design id love test see perform real situat,"{'neg': 0.0, 'neu': 0.511, 'pos': 0.489, 'compound': 0.7717}",0.7717,positive
"Hi Marques. First of all big fan of your videos and loads of love from India. 
I'd love to see a prominent youtuber like you and also others talk about the recent green/pink line issue faced by users across multiple countries using mobiles with led display from well-known manufacturers. It has become a widespread issue with no straightforward easy solution for the user who spends his hard earned money on these devices and do not always get even the acknowledgement from the manufacturers regarding this. I think when the tech community will start shedding light on this, it will be properly addressed and huge number of people will be relieved.",hi marqu first big fan load love india id love see promin youtub like also other talk recent greenpink line issu face rs across multipl countri use mobil led wellknown manufactur becom widespread issu straightforward easi solut r spend hard earn money devic alway get even acknowledg manufactur regard think tech communiti start shed light proper address huge number peopl reliev,"{'neg': 0.02, 'neu': 0.744, 'pos': 0.236, 'compound': 0.9371}",0.9371,positive
I love the Pixel 7Pro and the software experience but I cannot get past the $1800 price for the fold with not much more hardware or processing prowess. I think it's going to be a tough sell!,love pro softwar experi get past price much hardwar process prowess think go tough sell,"{'neg': 0.08, 'neu': 0.695, 'pos': 0.225, 'compound': 0.5719}",0.5719,positive
"LOVE how you banged out this video was so quickly. I would say it definitely looks impressive. As a person who has a Fold 3 and only rocks a Google Pixel 6 Pro because I LOVE the Google UI, Haptic feedback as well as the camera, I may have to scoop this up. I also LIKE the shorter/wider form factor compared to the longer/narrower one of the Fold series. Honestly it's either this or the OPPO Find N2(which I can get for cheaper here). Thanks again for the video.",love bang quick would say definit look impress person rock pro beca love ui haptic feedback well camera may scoop also like shorterwid form factor compar longernarrow one seri honest either oppo find nwhich get cheaper thank,"{'neg': 0.0, 'neu': 0.554, 'pos': 0.446, 'compound': 0.9694}",0.9694,positive
"You should check out how the screen looked in the live demo at the Keynote, in the right lighting the crease on the screen is quite visible and it also kinda looked a lot more ""plasticy"" than the other foldables if that makes sense but not so much when you're looking at it straight on.",check look live demo key right light creas quit visibl also kinda look lot plastici es make sens much your look straight,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}",0.2263,neutral
"Would actually love to give this a try but that price is nuts, I definitely prefer the form factor of this over the Z Fold 4",would actual love give tri price nut definit prefer form factor z,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.6369}",0.6369,positive
"I think you are right about the price overshadowing the whole thing. It gave me pause, but only because it feels like price has been a pretty big motivating factor to get people into the pixel world. This is truly a product for fans of the Pixel software experience, but the price is too steep for me, even with a free a pixel watch. I am having a hard time justifying taking a dive into this foldable.",think right price overshadow whole thing gave pa beca feel like price pretti big motiv factor get peopl world truli product fan softwar experi price steep even free hard time justifi take dive e,"{'neg': 0.036, 'neu': 0.753, 'pos': 0.21, 'compound': 0.7717}",0.7717,positive
As someone who likes to read a lot on my phone (a Pixel 7 Pro) this layout would be absolutely perfect for me but the price is way too high. I'm still holding out for a more mid-range option in a couple of years.,someon like read lot pro layout would absolut perfect price way high im still hold midrang option coupl,"{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.7351}",0.7351,positive
"I like it. I love my 6A and honestly, if I see an iteration of this at $1000-$1200 in the future I am getting one for sure.",like love honest see iter futur get one sure,"{'neg': 0.0, 'neu': 0.289, 'pos': 0.711, 'compound': 0.9062}",0.9062,positive
I’m really interested to see how Google will optimize apps for the phone.,im realli interest see optim app,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.4588}",0.4588,positive
"My gripe with the 7 pro is that its too tall for my small hands. I've never really considered a folding phone. But the ratio of the front screen looks perfect, and i can definitely see myself using the tablet mode for reading and online shopping. Definitely not getting the first gen, however xD",gripe pro tall small hand ive never realli consid ing ratio front look perfect definit see use tet mode read onlin shop definit get first gen howev xd,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.8934}",0.8934,positive
"I'm planning to upgrade to the fold 5 when it comes out, right now the pixel fold seems like a really good first attempt but I don't see it beating out samsung, especially when it comes the price for what you're getting. I obviously haven't had hands on with the pixel but I imagine the one handed experience on the outside screen won't be as good, bezels are whatever to me I'd prefer to not have them that wide but it's not a deal breaker, like he pointed out battery is a little worrying, and I'm wondering what the durability will be like compared to the z fold. Maybe the fold 2 or 3 will blow samsung out of the water but currently they have the best software and experience with foldables on the market imho",im plan come right seem like realli good first attempt dont see beat samsung especi come price your get obvious havent hand imagin one hand experi outsid wont good bezel whatev id prefer wide deal breaker like point littl worri im wonder durabl like compar z mayb blow samsung water current best softwar experi es market imho,"{'neg': 0.074, 'neu': 0.678, 'pos': 0.247, 'compound': 0.9051}",0.9051,positive
"It's gonna be a while before these phones become affordable. Would be interesting to see how this style of foldable phones evolves over the next few years. If they continue, that is. I really hope they do and eventually become something you can buy at the price of a normal phone today.",gon na becom afford would interest see style e evolv next continu realli hope eventu becom someth buy price normal today,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.7096}",0.7096,positive
"As someone who has been with the Fold since the Fold 2 I've actually been very interested in this Pixel both for the Pixel software experience and for the more squat screen (though, truth be told, I'm now so used to the thin ""remote control"" shape of the Fold). I still think it's a very cool device but that price point for a 1st gen model is going ot be a tough sell against a 5th gen of the Samsung Fold later this summer. I'd also lose out on a lot of the Samsung ecosystem which, by design, was set to trap me in but it's honestly worked well and I appreciate using my other Samsung devices with my phone. On top of all that Samsung has aggresive trade in and promotion programs that will make the price of Pixel even tougher.",someon sinc ive actual interest softwar experi squat though truth told im thin remot control shape still think cool devic price point st gen model go ot tough sell th gen samsung later summer id also lose lot samsung ecosystem design set trap honest work well appreci use samsung devic top samsung aggres trade promot program make price even tougher,"{'neg': 0.089, 'neu': 0.685, 'pos': 0.226, 'compound': 0.8402}",0.8402,positive
"Finally another real competitor in the global market for Samsung Galaxy Z Fold series. Hopefully this pushes them to improve more on their foldables, and not just minor upgrades each year.",final anoth real competitor global market samsung galaxi z seri hope push improv es minor,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}",0.4404,positive
"I've been waiting for this phone for a while, been using the Z fold 2 and 4 but I hated the narrow outer screen. So, the wider outer screen on this phone is big welcome for me.",ive wait use z hate narrow outer wider outer big welcom,"{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.5719}",-0.5719,negative
"Certainly intriguing!

Although the battery life is worrisome.",certain intriguingalthough worrisom,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.2732}",0.2732,neutral
"For their first foldable, it looks pretty good. I haven’t read many of the other comments so I wouldn’t know what the general consensus would be. As for me though, i would buy it.",first e look pretti good havent read mani comment wouldnt know general consensus would though would buy,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4404}",0.4404,positive
This obsession with thin bezels has introduced so many compromises that everyone has to work around. Hopefully they make a comeback and people realize it makes more sense.,obsess thin bezel introduc mani compromis everyon work around hope make comeback peopl realiz make sens,"{'neg': 0.106, 'neu': 0.741, 'pos': 0.153, 'compound': 0.2263}",0.2263,neutral
"I like the concept, I think I want to see it mature and proven over a generation or two before I jump in. Probably going Pixel 8 Pro next.",like concept think want see matur proven generat two jump probi go pro next,"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.4215}",0.4215,positive
How does video look in landscape with it open? This is probably my main drawback with exploring foldables--would love to hear anyones thoughts/experience on this?,look landscap open probi main drawback explor eswould love hear anyon thoughtsexperi,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.6369}",0.6369,positive
"I am glad google released this, so hopefully we will get more software features specifically for foldables. Samsung added some decent features for foldable phone, but I am curious if having google make features will add even more features",glad releas hope get softwar featur specif es samsung ad decent featur e curious make featur add even featur,"{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.802}",0.802,positive
"Interesting, can't wait for the full review soon. Don't really mind the bezels as well but dang pretty pricey at $1799.",interest cant wait full soon dont realli mind bezel well dang pretti pricey,"{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.6249}",0.6249,positive
"I appreciate it simply because it is going to bring more support, familiarity and awareness to folding phones from a software standpoint. Every hat tossed into the folding ring brings down the price, makes it a more legitimate investment for devs and increases the odds that some day they might just be the norm. The day the iPhone Pro and iPad Mini are the same device is going to be a great one.",appreci simpli beca go bring support familiar awar ing softwar standpoint everi hat toss ing ring bring price make legitim invest dev increas odd day might norm day pro ipad mini devic go great one,"{'neg': 0.056, 'neu': 0.779, 'pos': 0.165, 'compound': 0.6705}",0.6705,positive
"That price is gonna be interesting. I think the Samsung folds have sold okay i sometimes see people with them in the wild but i don't see pixels as often tbh, and this is gonna be even more niche. I'm a bit confused why they didn't give it 16GB of ram tbh. I feel like if you're a folding phone that should be tbe standard.",price gon na interest think samsung sold okay sometim see peopl wild dont see often tbh gon na even nich im bit confd didnt give gb ram tbh feel like your ing tbe standard,"{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.7506}",0.7506,positive
This is an amazing first go for googles first fold. I always wait until the second or third gen though!,amaz first go first alway wait second third gen though,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"Can't wait for the review. I am excited about it, but let's wait and see. Samsung is unfortunately frustrating us in the way of how slow they improve the z fold",cant wait excit let wait see samsung unfortun frustrat us way slow improv z,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Honestly I'd be interested to see what Apple will do in the folding space. I use android but seeing like an inbetween of ios and ipad os would be interesting.,honest id interest see appl ing space android see like inbetween io ipad os would interest,"{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.8957}",0.8957,positive
"I am on my third Pixel. I have had the 2XL, 4a and currently the 6 Pro. I will hold onto my Pro for at least another year. The fold might be tempting when it is time to switch. Hopefully the price drops a bit by then. 

I am actually back using my 4a right now, waiting for Google Fi to approve a screen repair for my 6 Pro.",third xl current pro hold onto pro least anoth might tempt time switch hope price drop bit actual back use right wait fi approv repair pro,"{'neg': 0.072, 'neu': 0.828, 'pos': 0.1, 'compound': 0.2023}",0.2023,neutral
"I tried the galaxy flip3 when it just came out and returned it as I'm not used with Andoid. Last year I tried the Galaxy Fold 4 and I fell in love with it. I think the reason behind is that I cannot compare the software to an iPhone as the Fold behave as a phone that turns into a tablet. Since then I been waiting for the Pixel Fold to come out. In my opinion with that price, I'm keeping my Fold4.",tri galaxi flip came return im andoid last tri galaxi fell love think reason behind compar softwar behav turn tet sinc wait come opinion price im keep,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.6369}",0.6369,positive
I can't wait to see a durability test for this,cant wait see durabl test,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"The more I see the Pixel Fold, the more I like it. Would get it in white as I enjoyed the silver iPhone X I had before selling it after 2 months because battery life was so bad. I need to wait another 6 months to get the Pixel Fold at half the price or so. No way I'm paying $1,800 for it.",see like would get white enjoy silver x sell month beca bad need wait anoth month get half price way im pay,"{'neg': 0.178, 'neu': 0.616, 'pos': 0.207, 'compound': 0.2023}",0.2023,neutral
"While this is outside my price range, it seems to be a very nice.  One interesting comparison will be the price of this versus the combined price of a normal Google phone plus their upcoming tablet.

One thing I wonder about is Marques' influence over the perceived dislike of bezels.  Since I actually prefer bezels, I wonder if there are a lot of people who were essentially taught by Marques to think they are bad.",outsid price rang seem nice one interest comparison price versus combin price normal plus upcom teton thing wonder marqu influenc perceiv dislik bezel sinc actual prefer bezel wonder lot peopl essenti taught marqu think bad,"{'neg': 0.085, 'neu': 0.775, 'pos': 0.14, 'compound': 0.3182}",0.3182,neutral
"It should of been $1,599 if they really wanted to make a dent against Samsung. I was excited for this but with the Fold 5 and the N2 under 1+ coming I'll definitely be holding off. Also Samsung trade in deals are nice and put a decent dent in that $1,800, I dont see Google matching those prices.",realli want make dent samsung excit n come ill definit hold also samsung trade deal nice put decent dent dont see match price,"{'neg': 0.108, 'neu': 0.734, 'pos': 0.158, 'compound': 0.0772}",0.0772,neutral
"I was considering switching to the Pixel Fold, but I just started working in a cabinet shop. I can't have that ""X"" in the IPX8 rating, that didn't work out too well for me when I got the first Pixel making granite countertops",consid switch start work cabinet shop cant x ipx rate didnt work well got first make granit countertop,"{'neg': 0.102, 'neu': 0.898, 'pos': 0.0, 'compound': -0.2057}",-0.2057,negative
"I want to see how the Pixel Fold will do against the Z Fold 5, Oppo N3, Vivo X Fold 2/2 Plus and Honor Magic V2 later at a very expensive price for the specs it carries",want see z oppo n vivo x plus honor magic v later expens price spec carri,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5423}",0.5423,positive
Was considering buying a small tablet has Cellular connection so I can take advantage of the free data sim for Fi. so if it makes this an all in one option then the premium price could make sense. Would have to see some more daily driver reviews to consider it though.,consid buy small tet cellular connect take advantag free data sim fi make one option premium price could make sens would see daili driver consid though,"{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5106}",0.5106,positive
"even though I'm not too big on folding phone's, I love my pixel 7 and I think google making a folding phone may turn out quite well.",even though im big ing love think make ing may turn quit well,"{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.743}",0.743,positive
"I have a Fold 3 now and I really like the format, thin folded and square ish unfolded. These fat wild format foldables seem less comfy to hold it folded but haven't tried so who knows. The bezel definitely look weird.",realli like format thin ed squar ish une fat wild format es seem less comfi hold ed havent tri know bezel definit look weird,"{'neg': 0.065, 'neu': 0.84, 'pos': 0.095, 'compound': 0.2023}",0.2023,neutral
The black one looks like a finger print magnet and that price point is outrageous. Its a good first attempt.  Im sticking with my Fold 4 though,black one look like finger print magnet price point outrag good first attempt im stick though,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.6597}",0.6597,positive
I was so excited about the phone certainly seeing the great prices on offer for the 7a and tablet but once I saw the price I backed out I'll wait for the pixel 8 for my switch to pixel,excit certain see great price offer tet saw price back ill wait switch,"{'neg': 0.147, 'neu': 0.526, 'pos': 0.326, 'compound': 0.5267}",0.5267,positive
battery life is gonna be an important part. I spent a year with the z flip 3 and the thing that always bothered me most was the battery life; and that phone didn't have a massive screen in the middle. switching from that into an iphone 14 was such an improvement when it came to battery life that i rarely have to think about it now. sooo idk for my money it's gotta have realllyyy good power optimization in order to make the battery last bc it almost doesn't matter how good the phone is otherwise,gon na import part spent z flip thing alway bother didnt massiv middl switch improv came rare think sooo idk money got ta realllyyi good power optim order make last bc almost doesnt matter good otherwis,"{'neg': 0.093, 'neu': 0.735, 'pos': 0.172, 'compound': 0.4947}",0.4947,positive
Awesome! I'm loving the Pixel line! I just hope they continue Pixelbook as well. The whole ecosystem is fantastic. Go Google!!!,awesom im love line hope continu book well whole ecosystem fantast go,"{'neg': 0.0, 'neu': 0.495, 'pos': 0.505, 'compound': 0.8481}",0.8481,positive
"I like the pixel size better but if I was going to buy a foldable , I would probably buy the Z Fold.  It’s been tested and tried for a longer time and you can actually get it at a cheaper price, plus it has more flagship specs and we all know that when it comes to screens, well samsung makes the best ones and that is what a fold in the end is all about (i.e. media consumption).",like size better go buy e would probi buy z test tri longer time actual get cheaper price plus flagship spec know come well samsung make best one end ie media consumpt,"{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.9022}",0.9022,positive
"The most interesting foldable to be honest!
Camera and display formfactor are the best compared to other foldable in the market.",interest e honestcamera formfactor best compar e market,"{'neg': 0.0, 'neu': 0.357, 'pos': 0.643, 'compound': 0.802}",0.802,positive
$1800. That’s mad. Good to see some competition though. Looks a good bit of kit.,that mad good see competit though look good bit kit,"{'neg': 0.2, 'neu': 0.438, 'pos': 0.362, 'compound': 0.3818}",0.3818,neutral
